RA,DEC,J,H,Av,R,Weight
274.6703381,-13.75622408,16.15949445,15.077212,2.8228228,20.587122,1
274.6721202,-13.81327067,15.94474666,14.875975,2.8228228,20.372374,1
274.6722868,-13.78810266,16.02819186,14.96019,2.8228228,20.45582,1
274.6801997,-13.79339222,15.46555341,14.477704,2.8228228,19.893181,1
274.6812173,-13.76583298,16.15705494,15.098544,2.8228228,20.584683,1
274.6842202,-13.79713488,15.74355419,14.7081,2.8228228,20.171182,1
274.698152,-13.8521747,16.26645157,15.198282,2.8228228,20.694079,1
274.7024965,-13.8504636,16.66591375,15.686637,2.8228228,21.093541,1
274.713064,-13.79409006,18.03234927,17.14317,2.8228228,22.459977,1
274.628074,-13.81795985,16.69103412,15.673952,2.9429429,21.221965,1
274.6451177,-13.7876239,17.28669224,16.325687,2.9429429,21.817623,1
274.6513813,-13.80731768,16.50432415,15.45308,2.9429429,21.035255,1
274.6545346,-13.80374213,15.99231459,14.905936,2.9429429,20.523246,1
274.6567337,-13.76751379,16.27797552,15.204001,2.9429429,20.808906,1
274.6871538,-13.77525578,15.59790403,14.584773,2.9429429,20.128835,1
274.6880075,-13.81726303,16.10593783,15.009835,2.9429429,20.636869,1
274.6896927,-13.81289195,16.57482079,15.531852,2.9429429,21.105752,1
274.6942396,-13.79079256,15.59638033,14.58873,2.9429429,20.127311,1
274.6976499,-13.80622092,16.89996881,15.905752,2.9429429,21.4309,1
274.7002873,-13.82996882,17.55773362,16.638739,2.9429429,22.088665,1
274.7056974,-13.80113209,16.1917233,15.113369,2.9429429,20.722654,1
274.7148628,-13.78620677,16.1858328,15.105133,2.9429429,20.716764,1
274.7177231,-13.78360843,16.36631205,15.30906,2.9429429,20.897243,1
274.7204509,-13.78399194,16.11349533,15.034018,2.9429429,20.644426,1
274.7271263,-13.76406122,16.89591756,15.889823,2.9429429,21.426849,1
274.7272943,-13.77947804,16.56293943,15.532542,2.9429429,21.09387,1
274.7389545,-13.81174407,16.70205425,15.678141,2.9429429,21.232985,1
274.6585178,-13.75505992,16.61882628,15.572766,3.0630631,21.253061,1
274.6589715,-13.80435535,15.35554954,14.383227,3.0630631,19.989784,1
274.6596599,-13.77023354,17.33879736,16.398067,3.0630631,21.973032,1
274.66054,-13.78864116,16.21543126,15.11571,3.0630631,20.849666,1
274.6609689,-13.7912784,16.54473361,15.4686,3.0630631,21.178968,1
274.6622891,-13.78387342,16.56586002,15.502886,3.0630631,21.200094,1
274.6676128,-13.79115625,16.0736064,14.960218,3.0630631,20.707841,1
274.6682732,-13.81139459,16.92879756,15.906356,3.0630631,21.563032,1
274.6723875,-13.80991839,15.79633762,14.753921,3.0630631,20.430572,1
274.6743911,-13.78836484,16.41157322,15.323835,3.0630631,21.045807,1
274.6816964,-13.77390481,16.84803811,15.807345,3.0630631,21.482272,1
274.6954575,-13.78922704,15.68198679,14.650532,3.0630631,20.316221,1
274.7122501,-13.74963832,15.53149228,14.524236,3.0630631,20.165727,1
274.7155995,-13.83314543,16.21840237,15.134247,3.0630631,20.852637,1
274.6502663,-13.79726677,15.84078239,14.776828,3.1831832,20.57832,1
