,RA,DEC,J,H,Av,R,Weight,in_field
1708,274.6721834,-13.75966204,18.82806421,17.034633,10.39039,29.7638,1,IN
1709,274.6770276,-13.75929502,19.96837932,18.28881,10.39039,30.904115,1,IN
1710,274.6641378,-13.75877468,14.37547358,13.092805,10.39039,25.311209,1,IN
1711,274.6852675,-13.75262877,16.79007339,15.180244,10.39039,27.725809,1,IN
1713,274.6640271,-13.79901281,19.28005991,17.558199,10.39039,30.215796,1,IN
1734,274.681597,-13.76440951,19.90341316,18.213191,10.510511,30.942452,1,IN
1735,274.6500353,-13.76407398,18.86583066,17.071912,10.510511,29.90487,1,IN
1736,274.695638,-13.76026218,18.13946925,16.250841,10.510511,29.178508,1,IN
1759,274.6981042,-13.76509668,18.90509332,17.096422,10.630631,30.047436,1,IN
1760,274.6768575,-13.7635527,19.94438763,18.23962,10.630631,31.08673,1,IN
1761,274.6771201,-13.76317101,19.36224836,17.586385,10.630631,30.504591,1,IN
1762,274.6824725,-13.76084495,19.46648759,17.729082,10.630631,30.60883,1,IN
1763,274.6807263,-13.76030535,20.10478728,18.404399,10.630631,31.24713,1,IN
1764,274.6948485,-13.75669337,19.23195091,17.450208,10.630631,30.374293,1,IN
1765,274.6611432,-13.79948065,16.7663772,15.140725,10.630631,27.90872,1,IN
1766,274.6754093,-13.79898465,15.25461524,13.819861,10.630631,26.396958,1,IN
1767,274.6640869,-13.79587807,19.22757054,17.437113,10.630631,30.369913,1,IN
1768,274.6551209,-13.79385502,18.89216026,17.087692,10.630631,30.034503,1,IN
1769,274.6628849,-13.79161844,19.22620242,17.44696,10.630631,30.368545,1,IN
1770,274.6741903,-13.79143009,14.54134973,13.436514,10.630631,25.683692,1,IN
1771,274.6751796,-13.79075814,18.38969992,16.488791,10.630631,29.532042,1,IN
1772,274.6945863,-13.78823562,19.854874,18.138969,10.630631,30.997216,1,IN
1773,274.64994,-13.78820343,18.87008664,17.047959,10.630631,30.012429,1,IN
1774,274.6763904,-13.78775864,19.4669107,17.720294,10.630631,30.609253,1,IN
