source_id,ra_Gaia,dec_Gaia,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight
5.94E+18,251.7602242,-45.85813532,16.49902,5.2902994,NOT_AVAILABLE,1051,251.7602525,-45.8581342,251.7602225,-45.8581406,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.623999,0.008999,10.444999,0.008,9.9110002,0.012,1,1,1
5.94E+18,251.7735269,-45.85148352,16.500938,5.997015,VARIABLE,5624,251.7735498,-45.8514907,251.773529,-45.8514929,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.899,0.012,9.5480003,0.021999,8.7150001,0.034,1,1,1
5.94E+18,251.7548679,-45.84079612,16.510962,6.3280373,NOT_AVAILABLE,4363,251.75489,-45.8408052,251.7548728,-45.8408083,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.213999,0.014,11.168999,0.008999,10.673,0.016,1,1,1
5.94E+18,251.77237,-45.85135319,16.519518,6.134616,VARIABLE,3385,251.7723874,-45.8513602,251.7723664,-45.8513626,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.170999,0.014,9.8380002,0.008,9.0270004,0.027,1,1,1
5.94E+18,251.7581302,-45.83939309,16.549555,4.731515,NOT_AVAILABLE,1718,251.7581428,-45.8394029,251.7581277,-45.839405,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.038999,0.012,10.963999,0.008,10.496,0.012,1,1,1
5.94E+18,251.7658289,-45.8517301,16.566833,5.120927,VARIABLE,5613,251.7658505,-45.8517354,251.7658273,-45.8517391,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.677,0.008,10.501,0.007,9.9409999,0.012,1,1,1
5.94E+18,251.7615361,-45.85127116,16.57099,5.4561033,NOT_AVAILABLE,1318,251.7615573,-45.8512783,251.7615333,-45.8512827,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.574999,0.012,10.348999,0.009999,9.7969999,0.014,1,1,1
5.94E+18,251.7610045,-45.8642248,16.578358,4.6743803,NOT_AVAILABLE,858,251.7610394,-45.8642193,251.7610045,-45.8642271,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.196999,0.008,11.142999,0.008999,10.661,0.014999,1,1,1
5.94E+18,251.7690019,-45.84986745,16.598217,5.309016,NOT_AVAILABLE,1374,251.7690185,-45.8498743,251.7689978,-45.849877,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.782999,0.013,10.623999,0.008999,10.092,0.012,1,1,1
5.94E+18,251.7497257,-45.84044335,16.619467,4.470212,NOT_AVAILABLE,1683,251.749743,-45.8404503,251.7497246,-45.8404542,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.295999,0.012,11.282999,0.006,10.822999,0.013,1,1,1
